Report_Name	Dataset Master Report
Report_ID	DSR
Release	RD1
Exceptions	3040: Partial Data Returned
Reporting_Period	2018-03-01 to 2018-03-31
Created	2018-03-09
Created_By	Dash

Dataset_Title	Publisher	Publisher_ID	Platform	Creators	Publication_Date	Dataset_Version	DOI	Other_ID	URI	YOP	Access_Method	Metric_Type	Country	Reporting_Period_Total	Reporting_Period_Volume
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Total_Dataset_Investigations	US	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Unique_Dataset_Investigations	US	1	
Oak Woodland Monitoring for the Irvine Open Space Easements (4)	UC Irvine	grid.266093.8	Dash	The Nature Conservancy San Diego Field Office	2015-04-14		10.7280/D1001P		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1001P	2015	Regular	Total_Dataset_Investigations	FR	2	
Oak Woodland Monitoring for the Irvine Open Space Easements (4)	UC Irvine	grid.266093.8	Dash	The Nature Conservancy San Diego Field Office	2015-04-14		10.7280/D1001P		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1001P	2015	Regular	Unique_Dataset_Investigations	FR	2	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Total_Dataset_Investigations	US	1	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Unique_Dataset_Investigations	US	1	
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Total_Dataset_Investigations	US	1	
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Unique_Dataset_Investigations	US	1	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Total_Dataset_Investigations	GB	1	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Unique_Dataset_Investigations	GB	1	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Total_Dataset_Investigations	US	3	
#Charlottesville	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-08-12		10.6086/D10T0B		https://dash.ucr.edu/stash/dataset/doi:10.6086/D10T0B	2017	Regular	Unique_Dataset_Investigations	US	3	
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Total_Dataset_Investigations	US	1	
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Unique_Dataset_Investigations	US	1	
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Total_Dataset_Requests	US	1	72148737
Sea Level Rise Impacts on Wastewater Treatment Systems along the U.S. Coasts	UC Berkeley	grid.47840.3f	Dash	Michelle Hummel;Matthew Berry;Mark Stacey	2018-03-07		10.6078/D1N955		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1N955	2018	Regular	Unique_Dataset_Requests	US	1	72148737
#BlackTheory	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-28		10.6086/D1JD4P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1JD4P	2017	Regular	Total_Dataset_Investigations	US	1	
#BlackTheory	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-28		10.6086/D1JD4P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1JD4P	2017	Regular	Unique_Dataset_Investigations	US	1	
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Total_Dataset_Investigations	US	3	
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Unique_Dataset_Investigations	US	3	
DocNow Digital Blackness 	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-12-14		10.6086/D1808K		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1808K	2017	Regular	Total_Dataset_Investigations	US	2	
DocNow Digital Blackness 	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-12-14		10.6086/D1808K		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1808K	2017	Regular	Unique_Dataset_Investigations	US	2	
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Total_Dataset_Investigations	US	4	
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Unique_Dataset_Investigations	US	4	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	US	8	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	US	8	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	IE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	IE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	CA	3	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	CA	3	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	DE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	DE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Machine	Total_Dataset_Investigations	DE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Machine	Unique_Dataset_Investigations	DE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	FR	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	FR	1	
#SaveACA	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-01-14		10.6086/D17P4N		https://dash.ucr.edu/stash/dataset/doi:10.6086/D17P4N	2017	Regular	Total_Dataset_Investigations	US	2	
#SaveACA	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-01-14		10.6086/D17P4N		https://dash.ucr.edu/stash/dataset/doi:10.6086/D17P4N	2017	Regular	Unique_Dataset_Investigations	US	2	
#DrawingWhileBlack	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-09-17		10.6086/D1DT02		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1DT02	2017	Regular	Total_Dataset_Investigations	US	2	
#DrawingWhileBlack	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-09-17		10.6086/D1DT02		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1DT02	2017	Regular	Unique_Dataset_Investigations	US	2	
#MarchForBlackWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-04		10.6086/D14D4Z		https://dash.ucr.edu/stash/dataset/doi:10.6086/D14D4Z	2017	Regular	Total_Dataset_Investigations	US	2	
#MarchForBlackWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-04		10.6086/D14D4Z		https://dash.ucr.edu/stash/dataset/doi:10.6086/D14D4Z	2017	Regular	Unique_Dataset_Investigations	US	2	
#BLMKidnapping	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-01-06		10.6086/D1CC7X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1CC7X	2017	Regular	Total_Dataset_Investigations	US	1	
#BLMKidnapping	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-01-06		10.6086/D1CC7X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1CC7X	2017	Regular	Unique_Dataset_Investigations	US	1	
#WOCAffirmation	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1TW8H		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1TW8H	2017	Regular	Total_Dataset_Investigations	US	1	
#WOCAffirmation	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1TW8H		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1TW8H	2017	Regular	Unique_Dataset_Investigations	US	1	
